leecode_num,title,acceptance,difficulty,frequency,freq_rank
658,Find K Closest Elements,41.6%,Medium,1.6547202223527289,421
913,Cat and Mouse,33.8%,Hard,1.6506808709681495,422
853,Car Fleet,43.5%,Medium,1.6497364054653778,423
1329,Sort the Matrix Diagonally,79.1%,Medium,1.6444692604321047,424
787,Cheapest Flights Within K Stops,39.4%,Medium,1.6301640429512172,425
262,Trips and Users,35.0%,Hard,1.62404081163571,426
1042,Flower Planting With No Adjacent,48.5%,Medium,1.6200406903337972,427
106,Construct Binary Tree from Inorder and Postorder Traversal,48.9%,Medium,1.6189724440830089,428
1419,Minimum Number of Frogs Croaking,47.0%,Medium,1.6187588853771626,429
1353,Maximum Number of Events That Can Be Attended,30.0%,Medium,1.6171007851796695,430
165,Compare Version Numbers,29.9%,Medium,1.6115339497868553,431
746,Min Cost Climbing Stairs,50.8%,Easy,1.6049793365332328,432
813,Largest Sum of Averages,50.7%,Medium,1.5997133625421056,433
809,Expressive Words,46.6%,Medium,1.599528035882747,434
514,Freedom Trail,44.8%,Hard,1.5957524593488461,435
355,Design Twitter,30.9%,Medium,1.5899725776459972,436
173,Binary Search Tree Iterator,59.3%,Medium,1.5882195671366808,437
1254,Number of Closed Islands,61.2%,Medium,1.5852675515062873,438
1274,Number of Ships in a Rectangle,65.8%,Hard,1.584355315552859,439
57,Insert Interval,34.7%,Medium,1.581377111970685,440
682,Baseball Game,65.6%,Easy,1.576518146136338,441
542,01 Matrix,40.4%,Medium,1.5744650762152699,442
659,Split Array into Consecutive Subsequences,44.2%,Medium,1.5686159179138452,443
713,Subarray Product Less Than K,40.3%,Medium,1.5681476434964847,444
349,Intersection of Two Arrays,64.1%,Easy,1.567071516062471,445
1578,Minimum Deletion Cost to Avoid Repeating Letters,60.1%,Medium,1.5661206772732004,446
66,Plus One,42.7%,Easy,1.565842885472302,447
448,Find All Numbers Disappeared in an Array,56.1%,Easy,1.5576105199816679,448
229,Majority Element II,38.3%,Medium,1.5573237443563628,449
1314,Matrix Block Sum,73.6%,Medium,1.556281795705401,450
1275,Find Winner on a Tic Tac Toe Game,53.1%,Easy,1.542623691046371,451
617,Merge Two Binary Trees,74.9%,Easy,1.5424009621162862,452
419,Battleships in a Board,70.8%,Medium,1.541100134321379,453
1277,Count Square Submatrices with All Ones,72.9%,Medium,1.5409122551014547,454
69,Sqrt(x),34.7%,Easy,1.5384891563727465,455
1262,Greatest Sum Divisible by Three,49.0%,Medium,1.5365765641692286,456
1051,Height Checker,71.8%,Easy,1.5334903788380438,457
381,Insert Delete GetRandom O(1) - Duplicates allowed,34.6%,Hard,1.5311876264457518,458
192,Word Frequency,25.8%,Medium,1.5234682624904683,459
457,Circular Array Loop,29.9%,Medium,1.5217906053753447,460
316,Remove Duplicate Letters,38.7%,Medium,1.519896935721167,461
157,Read N Characters Given Read4,36.7%,Easy,1.515820443586124,462
1143,Longest Common Subsequence,58.6%,Medium,1.5136807524792157,463
969,Pancake Sorting,68.5%,Medium,1.5123391082907294,464
252,Meeting Rooms,55.2%,Easy,1.5116238362035788,465
665,Non-decreasing Array,19.6%,Easy,1.5110366309177723,466
323,Number of Connected Components in an Undirected Graph,57.1%,Medium,1.508896683212223,467
1395,Count Number of Teams,81.9%,Medium,1.5021598506470022,468
249,Group Shifted Strings,57.3%,Medium,1.4981504778785064,469
664,Strange Printer,41.1%,Hard,1.4954936530848826,470
1481,Least Number of Unique Integers after K Removals,55.4%,Medium,1.4902252839681225,471
827,Making A Large Island,47.0%,Hard,1.4889195477249078,472
799,Champagne Tower,43.9%,Medium,1.485705007971482,473
116,Populating Next Right Pointers in Each Node,48.1%,Medium,1.4808983237365838,474
319,Bulb Switcher,45.3%,Medium,1.4799798451972135,475
290,Word Pattern,38.2%,Easy,1.4784186793323044,476
338,Counting Bits,70.1%,Medium,1.4732511832318462,477
1537,Get the Maximum Score,36.1%,Hard,1.4703563668088182,478
1223,Dice Roll Simulation,46.7%,Medium,1.4651985055371055,479
662,Maximum Width of Binary Tree,40.1%,Medium,1.4614594429471064,480
678,Valid Parenthesis String,31.4%,Medium,1.4594877269478521,481
650,2 Keys Keyboard,49.7%,Medium,1.4569119283338439,482
792,Number of Matching Subsequences,48.0%,Medium,1.4569119283338439,483
856,Score of Parentheses,62.0%,Medium,1.4561328986191853,484
28,Implement strStr(),34.9%,Easy,1.455743749391762,485
686,Repeated String Match,32.7%,Medium,1.4554155940729063,486
466,Count The Repetitions,28.5%,Hard,1.4544321662871087,487
895,Maximum Frequency Stack,62.0%,Hard,1.452985735618563,488
887,Super Egg Drop,27.1%,Hard,1.4436860437565302,489
616,Add Bold Tag in String,44.3%,Medium,1.4408254811360184,490
321,Create Maximum Number,27.4%,Hard,1.4401849507549813,491
591,Tag Validator,34.7%,Hard,1.436304781694552,492
1166,Design File System,57.8%,Medium,1.433866683762643,493
502,IPO,41.1%,Hard,1.4333239614542896,494
557,Reverse Words in a String III,71.3%,Easy,1.4322466376096241,495
26,Remove Duplicates from Sorted Array,46.1%,Easy,1.4303800179356496,496
1424,Diagonal Traverse II,45.0%,Medium,1.4284537508911257,497
715,Range Module,39.8%,Hard,1.425825199876526,498
257,Binary Tree Paths,52.9%,Easy,1.4199781989051388,499
779,K-th Symbol in Grammar,38.4%,Medium,1.4155647434200038,500
