leecode_num,title,acceptance,difficulty,frequency,freq_rank
1326,Minimum Number of Taps to Open to Water a Garden,45.9%,Hard,3.0328400618690665,99
14,Longest Common Prefix,35.9%,Easy,3.030463781300423,100
92,Reverse Linked List II,40.0%,Medium,3.0039898439141206,101
1209,Remove All Adjacent Duplicates in String II,57.5%,Medium,3.0014680051402025,102
45,Jump Game II,31.2%,Hard,3.0009472715965404,103
6,ZigZag Conversion,37.4%,Medium,3.0001875651901386,104
811,Subdomain Visit Count,71.0%,Easy,2.9776846184189605,105
67,Add Binary,46.4%,Easy,2.9713950203318267,106
680,Valid Palindrome II,36.9%,Easy,2.9708438113606577,107
115,Distinct Subsequences,39.2%,Hard,2.9623169613121823,108
13,Roman to Integer,56.3%,Easy,2.95813121465794,109
362,Design Hit Counter,64.8%,Medium,2.9525295466364128,110
301,Remove Invalid Parentheses,44.2%,Hard,2.948064692715344,111
412,Fizz Buzz,63.4%,Easy,2.9463415734471736,112
283,Move Zeroes,58.3%,Easy,2.9460112431468493,113
770,Basic Calculator IV,54.4%,Hard,2.9433185308699508,114
739,Daily Temperatures,64.2%,Medium,2.9380593010485954,115
532,K-diff Pairs in an Array,34.7%,Medium,2.9263918604962984,116
442,Find All Duplicates in an Array,68.6%,Medium,2.9261277400378822,117
526,Beautiful Arrangement,59.5%,Medium,2.914400699687875,118
1480,Running Sum of 1d Array,89.7%,Easy,2.9082444388167454,119
211,Design Add and Search Words Data Structure,39.5%,Medium,2.90335433632293,120
125,Valid Palindrome,37.7%,Easy,2.8929230343629375,121
72,Edit Distance,46.2%,Hard,2.8910386730461264,122
387,First Unique Character in a String,53.7%,Easy,2.8882237517390754,123
64,Minimum Path Sum,55.7%,Medium,2.881472699468951,124
202,Happy Number,51.0%,Easy,2.8775381511999596,125
863,All Nodes Distance K in Binary Tree,57.2%,Medium,2.8709907772987378,126
759,Employee Free Time,67.6%,Hard,2.868150347858858,127
78,Subsets,64.1%,Medium,2.8662097134558477,128
37,Sudoku Solver,45.6%,Hard,2.8635024020498294,129
509,Fibonacci Number,67.2%,Easy,2.863372473395295,130
749,Contain Virus,47.4%,Hard,2.8578117005107053,131
987,Vertical Order Traversal of a Binary Tree,37.4%,Medium,2.857170716443722,132
332,Reconstruct Itinerary,37.5%,Medium,2.8480487143196105,133
287,Find the Duplicate Number,56.9%,Medium,2.840594989027446,134
289,Game of Life,56.3%,Medium,2.8361110706575094,135
300,Longest Increasing Subsequence,43.3%,Medium,2.8343068378775875,136
239,Sliding Window Maximum,44.4%,Hard,2.832476523070372,137
348,Design Tic-Tac-Toe,55.2%,Medium,2.8307546928400296,138
1472,Design Browser History,69.6%,Medium,2.829848577002007,139
9,Palindrome Number,49.3%,Easy,2.8195861703854916,140
103,Binary Tree Zigzag Level Order Traversal,49.5%,Medium,2.8069547943065203,141
721,Accounts Merge,50.8%,Medium,2.803146103509651,142
212,Word Search II,36.2%,Hard,2.802066855870943,143
647,Palindromic Substrings,61.6%,Medium,2.7984700465070738,144
453,Minimum Moves to Equal Array Elements,50.6%,Easy,2.7979827745861505,145
209,Minimum Size Subarray Sum,39.0%,Medium,2.777482436922111,146
986,Interval List Intersections,68.0%,Medium,2.7740853463119333,147
240,Search a 2D Matrix II,43.8%,Medium,2.764084925296946,148
329,Longest Increasing Path in a Matrix,44.2%,Hard,2.7618042335049946,149
828,Count Unique Characters of All Substrings of a Given String,46.6%,Hard,2.760669630002571,150
134,Gas Station,40.7%,Medium,2.753888091518341,151
44,Wildcard Matching,25.2%,Hard,2.7520704301115746,152
